"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3076","Successful Inter Transfer","Retail APIs - QA","Fri Jan 03 22:49:17 GMT 2025","failed","Fri Jan 03 22:49:20 GMT 2025","Inter Transfer","Transfers","",""
"","257","Signup - Blank password","Retail APIs - QA","Fri Jan 03 22:48:46 GMT 2025","passed","Fri Jan 03 22:48:46 GMT 2025","Sign Up","Onboarding","",""
"","145","Invalid Account Number","Retail APIs - QA","Fri Jan 03 22:49:20 GMT 2025","passed","Fri Jan 03 22:49:20 GMT 2025","Inter Transfer","Transfers","",""
"","573","Signup - Referralcode/caseSensitive","Retail APIs - QA","Fri Jan 03 22:48:43 GMT 2025","passed","Fri Jan 03 22:48:44 GMT 2025","Sign Up","Onboarding","",""
"","178","View all questions","Retail APIs - QA","Fri Jan 03 22:49:40 GMT 2025","passed","Fri Jan 03 22:49:40 GMT 2025","Get all questions","Security questions","",""
"","149","Successful cable bundle purchase","Retail APIs - QA","Fri Jan 03 22:49:04 GMT 2025","failed","Fri Jan 03 22:49:04 GMT 2025","Buy Cable package","Bill Payment","",""
"","506","Get Account","Retail APIs - QA","Fri Jan 03 22:49:39 GMT 2025","passed","Fri Jan 03 22:49:39 GMT 2025","Get account","Account","",""
"","147","Invalid Amount (string format)","Retail APIs - QA","Fri Jan 03 22:49:07 GMT 2025","passed","Fri Jan 03 22:49:07 GMT 2025","Bet Funding","Bill Payment","",""
"","514","Invalid Pin Transfer","Retail APIs - QA","Fri Jan 03 22:49:20 GMT 2025","failed","Fri Jan 03 22:49:21 GMT 2025","Inter Transfer","Transfers","",""
"","458","Forgot Password - Valid email","Retail APIs - QA","Fri Jan 03 22:48:50 GMT 2025","passed","Fri Jan 03 22:48:50 GMT 2025","forgot","passwords","",""
"","498","Beneficiary Already Exists","Retail APIs - QA","Fri Jan 03 22:49:09 GMT 2025","passed","Fri Jan 03 22:49:10 GMT 2025","Beneficiaries > Add Beneficiary","Transfers","",""
"","326","Successful Intra Transfer - Negative amount","Retail APIs - QA","Fri Jan 03 22:49:15 GMT 2025","passed","Fri Jan 03 22:49:15 GMT 2025","Intra Transfer","Transfers","",""
"","102","Fetch invalid user","Retail APIs - QA","Fri Jan 03 22:49:38 GMT 2025","passed","Fri Jan 03 22:49:38 GMT 2025","username > {username}","Account","",""
"","209","Invalid Account Details for one transfer","Retail APIs - QA","Fri Jan 03 22:49:26 GMT 2025","passed","Fri Jan 03 22:49:26 GMT 2025","Bulk Transfer","Transfers","",""
"","146","Create Account - Blank currency Code","Retail APIs - QA","Fri Jan 03 22:49:38 GMT 2025","passed","Fri Jan 03 22:49:38 GMT 2025","Create account","Account","",""
"","185","Invalid Pin","Retail APIs - QA","Fri Jan 03 22:49:03 GMT 2025","failed","Fri Jan 03 22:49:04 GMT 2025","Buy Cable package","Bill Payment","",""
"","113","View all questions without x-API key","Retail APIs - QA","Fri Jan 03 22:49:40 GMT 2025","passed","Fri Jan 03 22:49:40 GMT 2025","Get all questions","Security questions","",""
"","104","Fetch unregistered user","Retail APIs - QA","Fri Jan 03 22:49:38 GMT 2025","passed","Fri Jan 03 22:49:38 GMT 2025","username > {username}","Account","",""
"","143","Airtime purchase with negative amount","Retail APIs - QA","Fri Jan 03 22:49:09 GMT 2025","passed","Fri Jan 03 22:49:09 GMT 2025","Buy Airtime","Bill Payment","",""
"","938","Close Account - Account with no funds Copy","Retail APIs - QA","Fri Jan 03 22:49:41 GMT 2025","passed","Fri Jan 03 22:49:42 GMT 2025","","Close Account","",""
"","172","Change Password - Incorrect old password","Retail APIs - QA","Fri Jan 03 22:48:52 GMT 2025","passed","Fri Jan 03 22:48:52 GMT 2025","change","passwords","",""
"","150","randomize security-questions- no token","Retail APIs - QA","Fri Jan 03 22:49:40 GMT 2025","passed","Fri Jan 03 22:49:41 GMT 2025","Get randomize security-questions","Security questions","",""
"","171","randomize security-questions- Valid details","Retail APIs - QA","Fri Jan 03 22:49:40 GMT 2025","passed","Fri Jan 03 22:49:40 GMT 2025","Get randomize security-questions","Security questions","",""
"","136","Invalid Name  Equiry request ID","Retail APIs - QA","Fri Jan 03 22:49:24 GMT 2025","passed","Fri Jan 03 22:49:24 GMT 2025","Schedule","Transfers","",""
"","5077","Valid entry","Retail APIs - QA","Fri Jan 03 22:49:30 GMT 2025","passed","Fri Jan 03 22:49:35 GMT 2025","File Bulk Transfer > validate-upload","Transfers","",""
"Get Auth Token","222","Signin - Blank password","Retail APIs - QA","Fri Jan 03 22:48:48 GMT 2025","passed","Fri Jan 03 22:48:49 GMT 2025","Sign In","Onboarding","",""
"","184","Invalid Account details for all transfers","Retail APIs - QA","Fri Jan 03 22:49:27 GMT 2025","passed","Fri Jan 03 22:49:27 GMT 2025","Bulk Transfer","Transfers","",""
"","310","No Transaction PIN - Personal","Retail APIs - QA","Fri Jan 03 22:49:45 GMT 2025","passed","Fri Jan 03 22:49:46 GMT 2025","","Sms opt in-and-out","",""
"","164","Add security-questions -Invalid questionid","Retail APIs - QA","Fri Jan 03 22:49:40 GMT 2025","passed","Fri Jan 03 22:49:40 GMT 2025","Post security Question","Security questions","",""
"","174","Change Password - Blank confirm password field","Retail APIs - QA","Fri Jan 03 22:48:53 GMT 2025","passed","Fri Jan 03 22:48:53 GMT 2025","change","passwords","",""
"","326","Invalid Pin","Retail APIs - QA","Fri Jan 03 22:49:07 GMT 2025","failed","Fri Jan 03 22:49:07 GMT 2025","Bet Funding","Bill Payment","",""
"","150","Invalid beneficiary phone number","Retail APIs - QA","Fri Jan 03 22:48:58 GMT 2025","passed","Fri Jan 03 22:48:58 GMT 2025","Buy Data","Bill Payment","",""
"","152","Invalid channel","Retail APIs - QA","Fri Jan 03 22:49:30 GMT 2025","passed","Fri Jan 03 22:49:30 GMT 2025","File Bulk Transfer > process-transfer","Transfers","",""
"","911","Signup - Numbers in name field","Retail APIs - QA","Fri Jan 03 22:48:41 GMT 2025","failed","Fri Jan 03 22:48:42 GMT 2025","Sign Up","Onboarding","",""
"","140","Create Account - Blank name","Retail APIs - QA","Fri Jan 03 22:49:38 GMT 2025","passed","Fri Jan 03 22:49:39 GMT 2025","Create account","Account","",""
"","915","Personal","Retail APIs - QA","Fri Jan 03 22:49:44 GMT 2025","passed","Fri Jan 03 22:49:45 GMT 2025","","Sms opt in-and-out","",""
"","145","/api/v1/transfer/bulk/download-template","Retail APIs - QA","Fri Jan 03 22:49:37 GMT 2025","passed","Fri Jan 03 22:49:38 GMT 2025","File Bulk Transfer > download-template","Transfers","",""
"","259","Signup - Existing username","Retail APIs - QA","Fri Jan 03 22:48:42 GMT 2025","passed","Fri Jan 03 22:48:43 GMT 2025","Sign Up","Onboarding","",""
"","150","Create Account - Blank account type","Retail APIs - QA","Fri Jan 03 22:49:39 GMT 2025","passed","Fri Jan 03 22:49:39 GMT 2025","Create account","Account","",""
"","1210","Wrong bundle amount (More than)","Retail APIs - QA","Fri Jan 03 22:48:57 GMT 2025","failed","Fri Jan 03 22:48:58 GMT 2025","Buy Data","Bill Payment","",""
"","527","Verify email - Blank OTP field","Retail APIs - QA","Fri Jan 03 22:48:47 GMT 2025","failed","Fri Jan 03 22:48:47 GMT 2025","Verify Email","Onboarding","",""
"","257","Signup - Invalid Password","Retail APIs - QA","Fri Jan 03 22:48:44 GMT 2025","passed","Fri Jan 03 22:48:44 GMT 2025","Sign Up","Onboarding","",""
"","1874","Sucessful transfer","Retail APIs - QA","Fri Jan 03 22:49:28 GMT 2025","passed","Fri Jan 03 22:49:30 GMT 2025","File Bulk Transfer > process-transfer","Transfers","",""
"","173","Reset Password - Mismatched password","Retail APIs - QA","Fri Jan 03 22:48:52 GMT 2025","failed","Fri Jan 03 22:48:52 GMT 2025","reset","passwords","",""
"","1183","Successful Bet Account Funding","Retail APIs - QA","Fri Jan 03 22:49:05 GMT 2025","failed","Fri Jan 03 22:49:06 GMT 2025","Bet Funding","Bill Payment","",""
"","143","Invalid Account number","Retail APIs - QA","Fri Jan 03 22:49:15 GMT 2025","passed","Fri Jan 03 22:49:16 GMT 2025","Intra Transfer","Transfers","",""
"","140","Invalid Name Equiry Request ID","Retail APIs - QA","Fri Jan 03 22:49:20 GMT 2025","passed","Fri Jan 03 22:49:20 GMT 2025","Inter Transfer","Transfers","",""
"","965","Schedule Bulk Transfer","Retail APIs - QA","Fri Jan 03 22:49:27 GMT 2025","passed","Fri Jan 03 22:49:28 GMT 2025","Bulk Transfer","Transfers","",""
