="BankCode",="BankName"
="110072",="Bank 78"
="120001",="9PAYMENT SERVICE BANK"
="090270",="AB MICROFINANCE BANK"
="070010",="ABBEY MORTGAGE BANK"
="090260",="ABOVE ONLY MICROFINANCE BANK"
="090197",="ABU MICROFINANCE BANK"
="000014",="ACCESS BANK"
="100052",="ACCESS YELLO"
="100013",="ACCESSMOBILE"
="090134",="ACCION MICROFINANCE BANK"
="090483",="ADA MICROFINANCE BANK"
="090160",="ADDOSSER MICROFINANCE BANK"
="090268",="ADEYEMI COLLEGE STAFF MICROFINANCE BANK"
="090155",="ADVANS LA FAYETTE  MICROFINANCE BANK"
="090292",="AFEKHAFE MICROFINANCE BANK"
="100028",="AG MORTGAGE BANK"
="090133",="AL-BARAKAH MICROFINANCE BANK"
="090277",="AL-HAYAT MICROFINANCE BANK"
="090259",="ALEKUN MICROFINANCE BANK"
="090297",="ALERT MICROFINANCE BANK"
="090131",="ALLWORKERS MICROFINANCE BANK"
="090169",="ALPHA KAPITAL MICROFINANCE BANK"
="090489",="ALVANA MICROFINANCE BANK"
="090394",="AMAC MICROFINANCE BANK"
="090180",="AMJU UNIQUE MICROFINANCE BANK"
="090116",="AMML MFB"
="090476",="ANCHORAGE  MICROFINANCE BANK"
="090469",="ANIOCHA MICROFINANCE BANK"
="090143",="APEKS MICROFINANCE BANK"
="090376",="APPLE MICROFINANCE BANK"
="090282",="ARISE MICROFINANCE BANK"
="090001",="ASOSAVINGS & LOANS"
="090287",="ASSETMATRIX MICROFINANCE BANK"
="090473",="ASSETS MICROFINANCE BANK"
="090172",="ASTRAPOLARIS MICROFINANCE BANK"
="090264",="AUCHI MICROFINANCE BANK"
="090188",="BAINES CREDIT MICROFINANCE BANK"
="090181",="BALOGUN FULANI MICROFINANCE BANK"
="090326",="BALOGUN GAMBARI MICROFINANCE BANK"
="9999754",="Bank78"
="090127",="BC KASH MICROFINANCE BANK"
="090336",="BIPC MICROFINANCE BANK"
="090117",="BOCTRUST MICROFINANCE BANK"
="090444",="BOI MICROFINANCE BANK"
="090494",="BOJI MFB"
="090395",="BORGU  MICROFINANCE BANK"
="090176",="BOSAK MICROFINANCE BANK"
="090148",="BOWEN MICROFINANCE BANK"
="070015",="BRENT MORTGAGE BANK"
="090293",="BRETHREN MICROFINANCE BANK"
="090393",="BRIDGEWAY MICROFINANCE BANK"
="090308",="BRIGHTWAY MICROFINANCE BANK"
="090406",="BUSINESS SUPPORT MICROFINANCE BANK"
="100026",="CARBON"
="090472",="CARETAKER MICROFINANCE BANK"
="090360",="CASHCONNECT MICROFINANCE BANK"
="090154",="CEMCS MICROFINANCE BANK"
="000028",="CENTRAL BANK OF NIGERIA"
="090470",="CHANGAN RTS MICROFINANCE BANK"
="090523",="CHASE MICROFINANCE BANK"
="090141",="CHIKUM MICROFINANCE BANK"
="090490",="CHUKWUNENYE MFB"
="090144",="CIT MICROFINANCE BANK"
="000009",="CITI BANK"
="090254",="COALCAMP MICROFINANCE BANK"
="090374",="COASTLINE MICROFINANCE BANK"
="090380",="CONPRO  MICROFINANCE BANK"
="090130",="CONSUMER MICROFINANCE BANK"
="100032",="CONTEC GLOBAL INFOTECH LIMITED (NOWNOW)"
="070021",="COOP MORTGAGE BANK"
="090365",="CORESTEP MICROFINANCE BANK"
="060001",="CORONATION MERCHANT BANK"
="070006",="COVENANT MFB"
="090159",="CREDIT AFRIQUE MICROFINANCE BANK"
="110014",="CYBERSPACE LIMITED"
="090391",="DAVODANI MICROFINANCE BANK"
="090167",="DAYLIGHT MICROFINANCE BANK"
="070023",="DELTA TRUST MICROFINANCE BANK"
="000005",="DIAMOND BANK"
="090156",="E-BARCS MICROFINANCE BANK"
="090294",="EAGLE FLIGHT MICROFINANCE BANK"
="100021",="EARTHOLEUM"
="000010",="ECOBANK BANK"
="100008",="ECOBANK XPRESS ACCOUNT"
="100030",="ECOMOBILE"
="090310",="EDFIN MICROFINANCE BANK"
="090389",="EK-RELIABLE MICROFINANCE BANK"
="090097",="EKONDO MFB"
="090273",="EMERALDS MICROFINANCE BANK"
="090114",="EMPIRE TRUST MFB"
="000019",="ENTERPRISE BANK"
="090189",="ESAN MICROFINANCE BANK"
="090166",="ESO-E MICROFINANCE BANK"
="090304",="EVANGEL MICROFINANCE BANK"
="090332",="EVERGREEN MICROFINANCE BANK"
="090179",="FAST MICROFINANCE BANK"
="090107",="FBN MORTGAGES LIMITED"
="100014",="FBNMOBILE"
="060002",="FBNQUEST MERCHANT BANK"
="000003",="FCMB"
="090409",="FCMB BETA"
="100031",="FCMB EASY ACCOUNT"
="090290",="FCT MICROFINANCE BANK"
="090398",="FEDERAL POLYTECHNIC NEKEDE MICROFINANCE BANK"
="090318",="FEDERAL UNIVERSITY DUTSE MICROFINANCE BANK"
="090482",="FEDETH MICROFINANCE BANK"
="090298",="FEDPOLY NASARAWA MICROFINANCE BANK"
="100001",="FET"
="090153",="FFS MICROFINANCE BANK"
="000007",="FIDELITY BANK"
="100019",="FIDELITY MOBILE"
="090126",="FIDFUND MICROFINANCE BANK"
="090507",="FIMS MFB"
="090111",="FINATRUST MICROFINANCE BANK"
="090366",="FIRMUS MICROFINANCE BANK"
="110004",="FIRST APPLE LIMITED"
="000016",="FIRST BANK OF NIGERIA"
="070014",="FIRST GENERATION MORTGAGE BANK"
="090285",="FIRST OPTION MICROFINANCE BANK"
="090164",="FIRST ROYAL MICROFINANCE BANK"
="090521",="FORESIGHT MICROFINANCE BANK"
="070002",="FORTIS MICROFINANCE BANK"
="100016",="FORTISMOBILE"
="400001",="FSDH MERCHANT BANK"
="090145",="FULLRANGE MICROFINANCE BANK"
="090158",="FUTO MICROFINANCE BANK"
="090168",="GASHUA MICROFINANCE BANK"
="070009",="GATEWAY MORTGAGE BANK"
="090475",="GIANT STRIDE MICROFINANCE BANK"
="090411",="GIGINYA MICROFINANCE BANK"
="090186",="GIREI MICROFINANCE BANK"
="000027",="GLOBUS BANK"
="090278",="GLORY MICROFINANCE BANK"
="090408",="GMB MICROFINANCE BANK"
="100022",="GOMONEY"
="090467",="GOOD NEIGBOURS MICROFINANCE BANK"
="090495",="GOODNEWS MICROFINANCE BANK"
="090122",="GOWANS MICROFINANCE BANK"
="090178",="GREENBANK MICROFINANCE BANK"
="090269",="GREENVILLE MICROFINANCE BANK"
="060004",="GREENWICH MERCHANT BANK"
="090195",="GROOMING MICROFINANCE BANK"
="000013",="GTBANK PLC"
="090385",="GTI MICROFINANCE BANK"
="100009",="GTMOBILE"
="090147",="HACKMAN MICROFINANCE BANK"
="070017",="HAGGAI MORTGAGE BANK LIMITED"
="090121",="HASAL MICROFINANCE BANK"
="090363",="HEADWAY MICROFINANCE BANK"
="100017",="HEDONMARK"
="000020",="HERITAGE"
="090175",="HIGHSTREET MICROFINANCE BANK"
="070024",="HOMEBASE MORTGAGE BANK"
="120002",="HOPEPSB"
="090118",="IBILE MICROFINANCE BANK"
="090519",="IBOMA FADAMA MICROFINANCE BANK"
="090520",="IC GLOBAL MICROFINANCE BANK"
="090324",="IKENNE MICROFINANCE BANK"
="090279",="IKIRE MICROFINANCE BANK"
="090370",="ILISAN MICROFINANCE BANK"
="090258",="IMO STATE MICROFINANCE BANK"
="100024",="IMPERIAL HOMES MORTGAGE BANK"
="090157",="INFINITY MICROFINANCE BANK"
="070016",="INFINITY TRUST MORTGAGE BANK"
="100027",="INTELLIFIN"
="090386",="INTERLAND MICROFINANCE BANK"
="090149",="IRL MICROFINANCE BANK"
="090377",="ISALEOYO MICROFINANCE BANK"
="000006",="JAIZ BANK"
="090352",="JESSEFIELD MICROFINANCE BANK"
="090003",="JUBILEE-LIFE MORTGAGE  BANK"
="090320",="KADPOLY MICROFINANCE BANK"
="090191",="KCMB MICROFINANCE BANK"
="100036",="KEGOW (CHAMSMOBILE)"
