"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 26 02:27:10 GMT 2024","Mon Feb 26 02:27:10 GMT 2024","459","Onboarding","Sign Up","","","","Signup - Existing username",""
"passed","Mon Feb 26 02:27:39 GMT 2024","Mon Feb 26 02:27:39 GMT 2024","211","Transfers","Bulk Transfer","","","","Invalid Account details for all transfers",""
"passed","Mon Feb 26 02:27:42 GMT 2024","Mon Feb 26 02:27:42 GMT 2024","313","Transfers","File Bulk Transfer","validate-upload","","","Invald entry",""
"passed","Mon Feb 26 02:27:58 GMT 2024","Mon Feb 26 02:27:58 GMT 2024","217","Account","Create account","","","","Create Account - Blank name",""
"failed","Mon Feb 26 02:27:57 GMT 2024","Mon Feb 26 02:27:57 GMT 2024","200","Account","Create account","","","","Create Account - Successful",""
"passed","Mon Feb 26 02:27:46 GMT 2024","Mon Feb 26 02:27:46 GMT 2024","195","SavingsPlan","Add A Savings","","","","Invalid Target Amount",""
"passed","Mon Feb 26 02:27:44 GMT 2024","Mon Feb 26 02:27:44 GMT 2024","195","SavingsPlan","Add A Savings","","","","Frequency that doesn't exist",""
"passed","Mon Feb 26 02:27:48 GMT 2024","Mon Feb 26 02:27:48 GMT 2024","198","SavingsPlan","Edit Savings Plan","","","","Maturity Number at 0",""
"failed","Mon Feb 26 02:27:52 GMT 2024","Mon Feb 26 02:27:52 GMT 2024","206","SavingsPlan","withdraw from savings plan","","","","Invalid Pin",""
"passed","Mon Feb 26 02:27:22 GMT 2024","Mon Feb 26 02:27:23 GMT 2024","181","Bill Payment","Buy Data","","","","Invalid phone number",""
"passed","Mon Feb 26 02:27:58 GMT 2024","Mon Feb 26 02:27:58 GMT 2024","181","Account","Create account","","","","Create Account - Blank currency Code",""
"failed","Mon Feb 26 02:27:10 GMT 2024","Mon Feb 26 02:27:10 GMT 2024","228","Onboarding","Sign Up","","","","Signup - Existing Phone No",""
"passed","Mon Feb 26 02:28:03 GMT 2024","Mon Feb 26 02:28:03 GMT 2024","262","Security questions","Validate security-questions","","","","validate security-questions",""
"passed","Mon Feb 26 02:27:53 GMT 2024","Mon Feb 26 02:27:54 GMT 2024","194","SavingsPlan","withdraw from savings plan","","","","Invalid Account",""
"passed","Mon Feb 26 02:27:33 GMT 2024","Mon Feb 26 02:27:33 GMT 2024","195","Transfers","Intra Transfer","","","","Successful Intra Transfer - Negative amount",""
"passed","Mon Feb 26 02:27:55 GMT 2024","Mon Feb 26 02:27:55 GMT 2024","196","SavingsPlan","download-report","","","","Download report","Filter by dateCreatedFrom,dateCreatedTo,hasInterest/hasNoInterest,hasMaturity/hasNoMaturity,autoSave/noAutoSave,phoneNumber"
"failed","Mon Feb 26 02:27:35 GMT 2024","Mon Feb 26 02:27:35 GMT 2024","213","Transfers","Inter Transfer","","","","Invalid Name Equiry Request ID",""
"passed","Mon Feb 26 02:27:12 GMT 2024","Mon Feb 26 02:27:12 GMT 2024","440","Onboarding","Sign Up","","","","Signup - Invalid countrycode",""
"passed","Mon Feb 26 02:27:50 GMT 2024","Mon Feb 26 02:27:50 GMT 2024","195","SavingsPlan","deposit into savings plan","","","","PIN is required",""
"passed","Mon Feb 26 02:27:48 GMT 2024","Mon Feb 26 02:27:48 GMT 2024","195","SavingsPlan","Edit Savings Plan","","","","Target amount required",""
