"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 18 11:46:11 GMT 2024","Fri Oct 18 11:46:11 GMT 2024","320","Retail APIs - QA","Sms opt in-and-out","","","","No Transaction PIN - Personal",""
"passed","Fri Oct 18 11:45:40 GMT 2024","Fri Oct 18 11:45:40 GMT 2024","192","Retail APIs - QA","Transfers","Intra Transfer","","","Invalid Account number",""
"passed","Fri Oct 18 11:45:42 GMT 2024","Fri Oct 18 11:45:43 GMT 2024","192","Retail APIs - QA","Transfers","Inter Transfer","","","Invalid Name Equiry Request ID",""
"passed","Fri Oct 18 11:46:03 GMT 2024","Fri Oct 18 11:46:04 GMT 2024","570","Retail APIs - QA","Account","Get account","","","Get Account",""
"failed","Fri Oct 18 11:45:34 GMT 2024","Fri Oct 18 11:45:35 GMT 2024","199","Retail APIs - QA","Transfers","Beneficiaries > Add Beneficiary","","","Invalid Account number",""
"passed","Fri Oct 18 11:44:59 GMT 2024","Fri Oct 18 11:44:59 GMT 2024","236","Retail APIs - QA","Onboarding","Sign Up","","","Signup - Existing username",""
"passed","Fri Oct 18 11:46:09 GMT 2024","Fri Oct 18 11:46:09 GMT 2024","381","Retail APIs - QA","Get Referral Details","","","","Get Referral Details By Id",""
"passed","Fri Oct 18 11:46:04 GMT 2024","Fri Oct 18 11:46:05 GMT 2024","238","Retail APIs - QA","Security questions","Post security Question","","","Add security-questions -Invalid questionid",""
"passed","Fri Oct 18 11:45:43 GMT 2024","Fri Oct 18 11:45:43 GMT 2024","189","Retail APIs - QA","Transfers","Inter Transfer","","","Invalid Account Number",""
"passed","Fri Oct 18 11:46:10 GMT 2024","Fri Oct 18 11:46:10 GMT 2024","509","Retail APIs - QA","Get Referral Details","","","","Get Referral Details-Non-existing Id",""
"passed","Fri Oct 18 11:45:12 GMT 2024","Fri Oct 18 11:45:15 GMT 2024","2834","Retail APIs - QA","Bill Payment","Buy Data","","","Successful Data Purchase",""
"passed","Fri Oct 18 11:46:02 GMT 2024","Fri Oct 18 11:46:02 GMT 2024","259","Retail APIs - QA","Account","Create account","","","Create Account - Successful",""
"passed","Fri Oct 18 11:45:29 GMT 2024","Fri Oct 18 11:45:29 GMT 2024","213","Retail APIs - QA","Bill Payment","Bet Funding","","","Bet Account Funding with negative amount",""
"passed","Fri Oct 18 11:45:39 GMT 2024","Fri Oct 18 11:45:39 GMT 2024","246","Retail APIs - QA","Transfers","Intra Transfer","","","Successful Intra Transfer - Negative amount",""
"passed","Fri Oct 18 11:45:19 GMT 2024","Fri Oct 18 11:45:21 GMT 2024","1691","Retail APIs - QA","Bill Payment","Buy Electricity tokens","","","Successful post paid purchase",""
"passed","Fri Oct 18 11:45:46 GMT 2024","Fri Oct 18 11:45:47 GMT 2024","1110","Retail APIs - QA","Transfers","Bulk Transfer","","","Successful Bulk transfer",""
"passed","Fri Oct 18 11:45:36 GMT 2024","Fri Oct 18 11:45:36 GMT 2024","219","Retail APIs - QA","Transfers","Beneficiaries > Edit details of a benficiary","","","/api/v1/transfers/beneficiaries Copy 2",""
"failed","Fri Oct 18 11:45:43 GMT 2024","Fri Oct 18 11:45:43 GMT 2024","441","Retail APIs - QA","Transfers","Inter Transfer","","","Invalid Pin Transfer",""
"passed","Fri Oct 18 11:45:03 GMT 2024","Fri Oct 18 11:45:04 GMT 2024","261","Retail APIs - QA","Onboarding","Verify Email","","","Verify email - Blank OTP field",""
"passed","Fri Oct 18 11:45:25 GMT 2024","Fri Oct 18 11:45:29 GMT 2024","3901","Retail APIs - QA","Bill Payment","Bet Funding","","","Successful Bet Account Funding",""
"passed","Fri Oct 18 11:46:09 GMT 2024","Fri Oct 18 11:46:10 GMT 2024","374","Retail APIs - QA","Get Referral Details","","","","Get Referral Details-W/O Id",""
"passed","Fri Oct 18 11:46:05 GMT 2024","Fri Oct 18 11:46:05 GMT 2024","230","Retail APIs - QA","Security questions","Post security Question","","","Add security-questions -Empty questionid",""
"passed","Fri Oct 18 11:45:48 GMT 2024","Fri Oct 18 11:45:48 GMT 2024","204","Retail APIs - QA","Transfers","Bulk Transfer","","","Invalid Account Details for one transfer",""
"failed","Fri Oct 18 11:45:21 GMT 2024","Fri Oct 18 11:45:23 GMT 2024","1359","Retail APIs - QA","Bill Payment","Buy Electricity tokens","","","Invalid meter number",""
"passed","Fri Oct 18 11:45:48 GMT 2024","Fri Oct 18 11:45:49 GMT 2024","754","Retail APIs - QA","Transfers","Bulk Transfer","","","Schedule Bulk Transfer",""
"passed","Fri Oct 18 11:45:07 GMT 2024","Fri Oct 18 11:45:07 GMT 2024","224","Retail APIs - QA","passwords","Verify OTP","","","Verify OTP - Blank otp",""
"passed","Fri Oct 18 11:45:40 GMT 2024","Fri Oct 18 11:45:40 GMT 2024","215","Retail APIs - QA","Transfers","Intra Transfer","","","Invalid Name Enquiry Request ID",""
"failed","Fri Oct 18 11:45:40 GMT 2024","Fri Oct 18 11:45:41 GMT 2024","620","Retail APIs - QA","Transfers","Intra Transfer","","","Schedule a transfer directly",""
"failed","Fri Oct 18 11:45:39 GMT 2024","Fri Oct 18 11:45:40 GMT 2024","433","Retail APIs - QA","Transfers","Intra Transfer","","","Invalid Pin",""
"passed","Fri Oct 18 11:45:15 GMT 2024","Fri Oct 18 11:45:17 GMT 2024","1606","Retail APIs - QA","Bill Payment","Buy Data","","","Wrong bundle amount (More than)",""
"passed","Fri Oct 18 11:45:59 GMT 2024","Fri Oct 18 11:46:00 GMT 2024","979","Retail APIs - QA","Transfers","File Bulk Transfer > validate-upload","","","Invalid entry",""
"passed","Fri Oct 18 11:45:10 GMT 2024","Fri Oct 18 11:45:10 GMT 2024","208","Retail APIs - QA","passwords","change","","","Change Password - Blank new password field",""
"passed","Fri Oct 18 11:46:04 GMT 2024","Fri Oct 18 11:46:04 GMT 2024","238","Retail APIs - QA","Security questions","Post security Question","","","Add security-questions that exist",""
"passed","Fri Oct 18 11:46:07 GMT 2024","Fri Oct 18 11:46:07 GMT 2024","611","Retail APIs - QA","Close Account","","","","Close Account - Account with no funds Copy",""
"passed","Fri Oct 18 11:46:06 GMT 2024","Fri Oct 18 11:46:06 GMT 2024","251","Retail APIs - QA","Security questions","Validate security-questions","","","validate security-questions",""
